id,occupation,credit_rating,number_of_late_payments,debt_to_income_ratio,credit_utilization_ratio
141,Salesperson,Fair,4,0.42,0.42
142,Engineer,Good,2,0.3,0.31
143,Engineer,Fair,5,0.52,0.4
144,Nurse,Fair,4,0.46,0.45
145,Nurse,Fair,7,0.32,0.45
146,Salesperson,Fair,1,0.45,0.28
147,Salesperson,Fair,2,0.34,0.36
148,Engineer,Fair,4,0.39,0.35
149,Teacher,Fair,6,0.36,0.42
150,Engineer,Fair,1,0.4,0.39
151,Engineer,Poor,9,0.44,0.46
152,Teacher,Fair,3,0.26,0.46
153,Teacher,Fair,2,0.22,0.55
154,Manager,Fair,2,0.4,0.38
155,Nurse,Good,0,0.28,0.3
156,Manager,Fair,5,0.36,0.59
157,Teacher,Good,1,0.33,0.3
158,Engineer,Poor,6,0.7,0.67
159,Salesperson,Fair,1,0.28,0.41
160,Teacher,Fair,2,0.6,0.38
161,Nurse,Fair,6,0.42,0.34
162,Salesperson,Fair,8,0.42,0.38
163,Nurse,Good,3,0.31,0.31
164,Salesperson,Good,1,0.2,0.36
165,Teacher,Good,3,0.18,0.36
166,Engineer,Good,2,0.29,0.28
167,Manager,Good,0,0.23,0.34
168,Engineer,Good,1,0.25,0.22
169,Nurse,Good,2,0.2,0.38
170,Nurse,Fair,6,0.38,0.42
171,Salesperson,Good,1,0.34,0.2
172,Clerk,Good,6,0.25,0.26
173,Engineer,Fair,2,0.35,0.49
174,Engineer,Fair,5,0.23,0.52
175,Teacher,Good,2,0.28,0.37
176,Nurse,Fair,3,0.2,0.42
177,Engineer,Fair,10,0.39,0.41
178,Nurse,Good,4,0.22,0.31
179,Engineer,Good,3,0.2,0.24
180,Clerk,Good,2,0.27,0.33
181,Nurse,Fair,4,0.22,0.67
182,Nurse,Fair,2,0.3,0.42
183,Engineer,Good,2,0.31,0.26
184,Clerk,Fair,1,0.3,0.51
185,Engineer,Fair,2,0.3,0.44
186,Nurse,Good,2,0.22,0.38
187,Nurse,Poor,6,0.56,0.6
188,Manager,Fair,6,0.4,0.47
189,Clerk,Fair,2,0.45,0.4
190,Engineer,Fair,4,0.5,0.43
191,Teacher,Good,0,0.29,0.31
192,Teacher,Good,0,0.28,0.2
193,Engineer,Fair,7,0.58,0.45
194,Manager,Fair,4,0.27,0.45
195,Teacher,Fair,1,0.38,0.36
196,Manager,Fair,2,0.29,0.49
197,Teacher,Good,1,0.22,0.38
198,Manager,Fair,2,0.3,0.53
199,Salesperson,Fair,4,0.34,0.47
200,Engineer,Fair,4,0.21,0.52
201,Teacher,Poor,10,0.62,0.46
202,Engineer,Fair,7,0.47,0.43
203,Teacher,Fair,2,0.35,0.53
204,Engineer,Fair,7,0.26,0.42
205,Engineer,Good,3,0.34,0.36
206,Clerk,Fair,2,0.38,0.48
207,Nurse,Good,1,0.18,0.2
208,Nurse,Fair,0,0.59,0.39
209,Nurse,Fair,5,0.43,0.45
210,Salesperson,Good,0,0.23,0.37
211,Manager,Fair,5,0.27,0.44
212,Teacher,Fair,1,0.39,0.42
213,Salesperson,Good,2,0.21,0.39
214,Teacher,Fair,2,0.45,0.27
215,Clerk,Fair,9,0.27,0.43
216,Engineer,Fair,5,0.26,0.42
217,Teacher,Fair,0,0.26,0.62
218,Salesperson,Fair,4,0.26,0.55
219,Engineer,Poor,4,0.44,0.66
220,Manager,Good,1,0.27,0.36
221,Teacher,Good,2,0.28,0.29
222,Engineer,Poor,2,0.44,0.48
223,Nurse,Fair,7,0.27,0.49
224,Manager,Fair,12,0.24,0.5
225,Clerk,Fair,1,0.36,0.35
226,Teacher,Fair,5,0.26,0.48
227,Engineer,Fair,9,0.4,0.64
228,Nurse,Good,1,0.29,0.39
229,Teacher,Good,2,0.23,0.32
230,Salesperson,Fair,2,0.26,0.55
